id,name,kind,baseKV,Vm,Va,locX,locY
1,west_haverstraw_345kV,PQ,345.00,1.03463,-1.73,,
2,south_mahwah_345kV_1,PQ,345.00,1.05465,-3.33,,
3,south_mahwah_345kV_2,PQ,345.00,1.05457,-3.29,,
4,UNIDENTIFIED: MDTN TAP,PQ,345.00,1.04205,-2.14,,
5,chester_138kV,PQ,138.00,1.00068,-4.58,,
6,silver_lake_69kV,PQ,69.00,1.01435,-6.21,,
7,burns_138kV,PQ,138.00,0.99402,-5.24,,
8,congers_138kV,PQ,138.00,1.00154,-5.06,,
9,monsey_138kV,PQ,138.00,0.99538,-5.12,,
10,hillburn_138kV,PQ,138.00,1.00037,-4.82,,
11,UNIDENTIFIED: LOVET138,PQ,138.00,0.98358,-3.69,,
12,stony_point_138kV,PQ,138.00,0.99208,-3.91,,
13,new_hempstead_138kV,PQ,138.00,0.99603,-5.05,,
14,ramapo_138kV,PQ,138.00,1.00000,-4.59,,
15,shoemaker_138kV,PQ,138.00,1.00589,-4.20,,
16,shoemaker_tap_138kV,PQ,138.00,1.00752,-4.06,,
17,sugerloaf_138kV,PQ,138.00,1.00000,-4.60,,
18,bowline_138kV,PQ,138.00,1.00655,-3.77,,
19,west_haverstraw_138kV,PQ,138.00,1.00267,-4.06,,
20,west_nycak_138kV,PQ,138.00,0.99986,-5.57,,
21,UNIDENTIFIED: ROCKSEWR,PQ,69.00,0.99953,-8.91,,
22,blooming_grove_69kV,PQ,69.00,0.99262,-7.22,,
23,blue_lake_69kV,PQ,69.00,0.99728,-6.65,,
24,burns_69kV,PQ,69.00,1.00000,-6.27,,
25,UNIDENTIFIED: CEDAR,PQ,69.00,0.99039,-5.97,,
26,cuddebackville_69kV,PQ,69.00,1.01670,-6.08,,
27,harriman_69kV,PQ,69.00,1.00000,-7.01,,
28,hillburn_69kV,PV,69.00,0.99500,-5.98,,
29,hunt_69kV,PQ,69.00,0.99874,-6.38,,
30,UNIDENTIFIED: LAKE RD,PQ,69.00,0.99722,-6.55,,
31,UNIDENTIFIED: LOVET69,PQ,69.00,0.99026,-5.51,,
32,mongaup_69kV,PV,69.00,1.03979,-5.38,,
33,monroe_69kV,PQ,69.00,1.00000,-6.83,,
34,nanuet_69kV,PQ,69.00,1.00298,-7.19,,
35,orangeburg_69kV,PQ,69.00,1.00000,-8.67,,
36,UNIDENTIFIED: PEARL69,PQ,69.00,1.00703,-7.52,,
37,ringwood_69kV,PQ,69.00,0.99781,-6.89,,
38,rio_69kV,PV,69.00,1.04591,-5.17,,
39,south_goshen_69kV,PQ,69.00,1.00928,-6.01,,
40,shoemaker_69kV,PV,69.00,1.02500,-5.37,,
41,sloatsburg_69kV,PQ,69.00,0.99558,-6.34,,
42,sparkill_69kV,PQ,69.00,0.99923,-9.14,,
43,sterling_forest_69kV,PQ,69.00,0.99988,-6.00,,
44,sugerloaf_69kV,PQ,69.00,1.00000,-5.83,,
45,swinging_bridge_69kV,PV,69.00,1.05000,-5.25,,
46,tallman_138kV,PQ,138.00,0.99729,-4.92,,
47,west_nycak_69kV,PQ,69.00,1.00000,-7.61,,
48,wisner_69kV,PQ,69.00,1.00000,-6.47,,
49,west_milford_69kV,PQ,69.00,0.99348,-7.28,,
50,UNIDENTIFIED: PEARL34,PV,34.50,1.01060,-7.36,,
51,east_wallkill_69kV,PQ,69.00,1.01456,-6.20,,
52,bowline_20kV_2,PV,20.00,1.00000,4.28,,
53,bowline_20kV_1,PV,20.00,1.00000,4.31,,
54,washington_heights_69kV_1,PQ,69.00,1.01395,-6.26,,
55,UNIDENTIFIED: L491T,PQ,69.00,1.00703,-7.52,,
56,UNIDENTIFIED: GRSSYPNT,PQ,69.00,0.99021,-5.98,,
57,washington_heights_69kV_2,PQ,69.00,1.01395,-6.26,,
58,westtown_69kV,PQ,69.00,1.02500,-5.37,,
59,little_tor_138kV,PQ,138.00,1.00000,-4.56,,
60,snake_hill_138kV,PQ,138.00,1.00000,-5.47,,
61,corporate_drive_138kV,PQ,138.00,0.97884,-6.11,,
62,hartley_road_69kV,PQ,69.00,1.00933,-5.91,,
63,sterling_forest_tap_138kV,PQ,138.00,0.99904,-4.79,,
64,UNIDENTIFIED: ROCK TAV,PQ,345.00,1.04720,-2.63,,
65,bowline_345kV_1,PQ,345.00,1.03467,-1.63,,
66,bowline_345kV_2,PQ,345.00,1.03679,-1.63,,
67,UNIDENTIFIED: LADENTWN,PQ,345.00,1.04307,-2.16,,
68,ramapo_345kV,PQ,345.00,1.04950,-2.96,,
69,sugerloaf_345kV,PQ,345.00,1.04951,-2.92,,
70,the_reference_bus_345kV,RE,345.00,1.03279,0.00,,
71,burns_34.5kV,PQ,34.50,1.00771,-6.85,,
72,rio_34.5kV,PQ,34.50,1.04591,-5.17,,
73,cuddebackville_34.5kV,PQ,34.50,0.97844,-10.01,,
74,harriman_34.5kV_1,PQ,34.50,1.00000,-7.01,,
75,harriman_34.5kV_2,PQ,34.50,1.00000,-7.01,,
76,shoemaker_34.5kV,PQ,34.50,1.00000,-4.20,,
77,washington_heights_34.5kV,PQ,34.50,1.01395,-6.26,,
78,westtown_34.5kV,PQ,34.50,1.02500,-5.37,,
79,UNIDENTIFIED: NORTHRCKLD,PQ,345.00,1.04945,-2.24,,