time,Pd_MW
2008/04/16 00:00,3.218215
2008/04/16 00:05,3.199191
2008/04/16 00:10,3.186359
2008/04/16 00:15,3.169171
2008/04/16 00:20,3.157154
2008/04/16 00:25,3.147142
2008/04/16 00:30,3.137137
2008/04/16 00:35,3.128124
2008/04/16 00:40,3.120114
2008/04/16 00:45,3.111105
2008/04/16 00:50,3.101102
2008/04/16 00:55,3.090086
2008/04/16 01:00,3.077077
2008/04/16 01:05,3.062052
2008/04/16 01:10,3.046042
2008/04/16 01:15,3.028021
2008/04/16 01:20,3.009002
2008/04/16 01:25,2.986998
2008/04/16 01:30,2.967003
2008/04/16 01:35,2.94894
2008/04/16 01:40,2.927
2008/04/16 01:45,2.907005
2008/04/16 01:50,2.889003
2008/04/16 01:55,2.871994
2008/04/16 02:00,2.856996
2008/04/16 02:05,2.843997
2008/04/16 02:10,2.831993
2008/04/16 02:15,2.823006
2008/04/16 02:20,2.816001
2008/04/16 02:25,2.814808
2008/04/16 02:30,2.809003
2008/04/16 02:35,2.806193
2008/04/16 02:40,2.80919
2008/04/16 02:45,2.817002
2008/04/16 02:50,2.824999
2008/04/16 02:55,2.835998
2008/04/16 03:00,2.849001
2008/04/16 03:05,2.864998
2008/04/16 03:10,2.884007
2008/04/16 03:15,2.903997
2008/04/16 03:20,2.926998
2008/04/16 03:25,2.947051
2008/04/16 03:30,2.971029
2008/04/16 03:35,2.998006
2008/04/16 03:40,3.022999
2008/04/16 03:45,3.049045
2008/04/16 03:50,3.069002
2008/04/16 03:55,3.089993
2008/04/16 04:00,3.110001
2008/04/16 04:05,3.127005
2008/04/16 04:10,3.142994
2008/04/16 04:15,3.160155
2008/04/16 04:20,3.17216
2008/04/16 04:25,3.183175
2008/04/16 04:30,3.193188
2008/04/16 04:35,3.203197
2008/04/16 04:40,3.212204
2008/04/16 04:45,3.222215
2008/04/16 04:50,3.231226
2008/04/16 04:55,3.241243
2008/04/16 05:00,3.25225
2008/04/16 05:05,3.264265
2008/04/16 05:10,3.277273
2008/04/16 05:15,3.287997
2008/04/16 05:20,3.303999
2008/04/16 05:25,3.32532
2008/04/16 05:30,3.344345
2008/04/16 05:35,3.361997
2008/04/16 05:40,3.386007
2008/04/16 05:45,3.411001
2008/04/16 05:50,3.439005
2008/04/16 05:55,3.469007
2008/04/16 06:00,3.501996
2008/04/16 06:05,3.537001
2008/04/16 06:10,3.576008
2008/04/16 06:15,3.615995
2008/04/16 06:20,3.654339
2008/04/16 06:25,3.702994
2008/04/16 06:30,3.749004
2008/04/16 06:35,3.795995
2008/04/16 06:40,3.841155
2008/04/16 06:45,3.895003
2008/04/16 06:50,3.946
2008/04/16 06:55,3.997999
2008/04/16 07:00,4.050009
2008/04/16 07:05,4.101987
2008/04/16 07:10,4.150843
2008/04/16 07:15,4.211213
2008/04/16 07:20,4.263264
2008/04/16 07:25,4.310998
2008/04/16 07:30,4.362009
2008/04/16 07:35,4.411998
2008/04/16 07:40,4.461006
2008/04/16 07:45,4.504499
2008/04/16 07:50,4.554994
2008/04/16 07:55,4.599999
2008/04/16 08:00,4.642994
2008/04/16 08:05,4.684005
2008/04/16 08:10,4.723009
2008/04/16 08:15,4.761001
2008/04/16 08:20,4.797009
2008/04/16 08:25,4.830997
2008/04/16 08:30,4.863996
2008/04/16 08:35,4.89111
2008/04/16 08:40,4.922081
2008/04/16 08:45,4.951045
2008/04/16 08:50,4.985004
2008/04/16 08:55,5.00799
2008/04/16 09:00,5.03596
2008/04/16 09:05,5.062932
2008/04/16 09:10,5.089902
2008/04/16 09:15,5.115882
2008/04/16 09:20,5.141854
2008/04/16 09:25,5.166827
2008/04/16 09:30,5.197004
2008/04/16 09:35,5.216773
2008/04/16 09:40,5.240753
2008/04/16 09:45,5.270002
2008/04/16 09:50,5.294005
2008/04/16 09:55,5.318001
2008/04/16 10:00,5.340996
2008/04/16 10:05,5.363995
2008/04/16 10:10,5.386999
2008/04/16 10:15,5.410013
2008/04/16 10:20,5.431995
2008/04/16 10:25,5.459458
2008/04/16 10:30,5.482476
2008/04/16 10:35,5.504496
2008/04/16 10:40,5.515474
2008/04/16 10:45,5.536456
2008/04/16 10:50,5.564007
2008/04/16 10:55,5.586
2008/04/16 11:00,5.608001
2008/04/16 11:05,5.629995
2008/04/16 11:10,5.650995
2008/04/16 11:15,5.673
2008/04/16 11:20,5.694002
2008/04/16 11:25,5.715003
2008/04/16 11:30,5.734996
2008/04/16 11:35,5.754004
2008/04/16 11:40,5.777774
2008/04/16 11:45,5.790002
2008/04/16 11:50,5.805998
2008/04/16 11:55,5.821002
2008/04/16 12:00,5.834999
2008/04/16 12:05,5.846998
2008/04/16 12:10,5.858995
2008/04/16 12:15,5.869002
2008/04/16 12:20,5.880001
2008/04/16 12:25,5.889999
2008/04/16 12:30,5.900997
2008/04/16 12:35,5.912995
2008/04/16 12:40,5.927003
2008/04/16 12:45,5.940993
2008/04/16 12:50,5.958008
2008/04/16 12:55,5.978007
2008/04/16 13:00,6.000002
2008/04/16 13:05,6.025009
2008/04/16 13:10,6.052995
2008/04/16 13:15,6.088086
2008/04/16 13:20,6.111993
2008/04/16 13:25,6.142001
2008/04/16 13:30,6.170998
2008/04/16 13:35,6.191802
2008/04/16 13:40,6.221997
2008/04/16 13:45,6.242999
2008/04/16 13:50,6.259004
2008/04/16 13:55,6.270001
2008/04/16 14:00,6.275
2008/04/16 14:05,6.273006
2008/04/16 14:10,6.265999
2008/04/16 14:15,6.252997
2008/04/16 14:20,6.243238
2008/04/16 14:25,6.224222
2008/04/16 14:30,6.196001
2008/04/16 14:35,6.174006
2008/04/16 14:40,6.152001
2008/04/16 14:45,6.131003
2008/04/16 14:50,6.104886
2008/04/16 14:55,6.094998
2008/04/16 15:00,6.083003
2008/04/16 15:05,6.074997
2008/04/16 15:10,6.078074
2008/04/16 15:15,6.072995
2008/04/16 15:20,6.069922
2008/04/16 15:25,6.081998
2008/04/16 15:30,6.088998
2008/04/16 15:35,6.097995
2008/04/16 15:40,6.107
2008/04/16 15:45,6.115005
2008/04/16 15:50,6.123001
2008/04/16 15:55,6.128995
2008/04/16 16:00,6.132994
2008/04/16 16:05,6.134003
2008/04/16 16:10,6.132994
2008/04/16 16:15,6.128995
2008/04/16 16:20,6.123997
2008/04/16 16:25,6.111889
2008/04/16 16:30,6.105883
2008/04/16 16:35,6.105003
2008/04/16 16:40,6.097992
2008/04/16 16:45,6.091
2008/04/16 16:50,6.085994
2008/04/16 16:55,6.083
2008/04/16 17:00,6.080995
2008/04/16 17:05,6.082001
2008/04/16 17:10,6.084002
2008/04/16 17:15,6.085994
2008/04/16 17:20,6.088999
2008/04/16 17:25,6.090001
2008/04/16 17:30,6.090001
2008/04/16 17:35,6.086999
2008/04/16 17:40,6.079998
2008/04/16 17:45,6.074068
2008/04/16 17:50,6.051001
2008/04/16 17:55,6.028003
2008/04/16 18:00,5.998009
2008/04/16 18:05,5.959997
2008/04/16 18:10,5.910085
2008/04/16 18:15,5.866004
2008/04/16 18:20,5.818815
2008/04/16 18:25,5.757998
2008/04/16 18:30,5.700998
2008/04/16 18:35,5.651642
2008/04/16 18:40,5.591998
2008/04/16 18:45,5.547545
2008/04/16 18:50,5.502492
2008/04/16 18:55,5.463458
2008/04/16 19:00,5.432431
2008/04/16 19:05,5.410402
2008/04/16 19:10,5.39
2008/04/16 19:15,5.387385
2008/04/16 19:20,5.385382
2008/04/16 19:25,5.386382
2008/04/16 19:30,5.390388
2008/04/16 19:35,5.396392
2008/04/16 19:40,5.396994
2008/04/16 19:45,5.400997
2008/04/16 19:50,5.403
2008/04/16 19:55,5.399997
2008/04/16 20:00,5.392989
2008/04/16 20:05,5.379002
2008/04/16 20:10,5.359992
2008/04/16 20:15,5.335007
2008/04/16 20:20,5.310309
2008/04/16 20:25,5.271
2008/04/16 20:30,5.233005
2008/04/16 20:35,5.191999
2008/04/16 20:40,5.148
2008/04/16 20:45,5.101002
2008/04/16 20:50,5.058057
2008/04/16 20:55,5.004003
2008/04/16 21:00,4.954003
2008/04/16 21:05,4.903998
2008/04/16 21:10,4.849145
2008/04/16 21:15,4.808802
2008/04/16 21:20,4.758759
2008/04/16 21:25,4.704
2008/04/16 21:30,4.659657
2008/04/16 21:35,4.606994
2008/04/16 21:40,4.563559
2008/04/16 21:45,4.516509
2008/04/16 21:50,4.469468
2008/04/16 21:55,4.424425
2008/04/16 22:00,4.380373
2008/04/16 22:05,4.33733
2008/04/16 22:10,4.295285
2008/04/16 22:15,4.254247
2008/04/16 22:20,4.214209
2008/04/16 22:25,4.174172
2008/04/16 22:30,4.135135
2008/04/16 22:35,4.092001
2008/04/16 22:40,4.057062
2008/04/16 22:45,4.013999
2008/04/16 22:50,3.975998
2008/04/16 22:55,3.936002
2008/04/16 23:00,3.897003
2008/04/16 23:05,3.857002
2008/04/16 23:10,3.816995
2008/04/16 23:15,3.776995
2008/04/16 23:20,3.737002
2008/04/16 23:25,3.697999
2008/04/16 23:30,3.660002
2008/04/16 23:35,3.623001
2008/04/16 23:40,3.591583
2008/04/16 23:45,3.557553
2008/04/16 23:50,3.523001
2008/04/16 23:55,3.495004
2008/05/16 00:00,3.469004
2008/05/16 00:05,3.445998
2008/05/16 00:10,3.42257
2008/05/16 00:15,3.409001
2008/05/16 00:20,3.393004
2008/05/16 00:25,3.375623
2008/05/16 00:30,3.362634
2008/05/16 00:35,3.353998
2008/05/16 00:40,3.338653
2008/05/16 00:45,3.326672
2008/05/16 00:50,3.316996
2008/05/16 00:55,3.300692
2008/05/16 01:00,3.286707
2008/05/16 01:05,3.270719
2008/05/16 01:10,3.25374
2008/05/16 01:15,3.235749
2008/05/16 01:20,3.221007
2008/05/16 01:25,3.201997
2008/05/16 01:30,3.183994
2008/05/16 01:35,3.165998
2008/05/16 01:40,3.149002
2008/05/16 01:45,3.133002
2008/05/16 01:50,3.119
2008/05/16 01:55,3.107006
2008/05/16 02:00,3.097008
2008/05/16 02:05,3.090003
2008/05/16 02:10,3.085001
2008/05/16 02:15,3.083008
2008/05/16 02:20,3.086088
2008/05/16 02:25,3.087085
2008/05/16 02:30,3.087994
2008/05/16 02:35,3.092994
2008/05/16 02:40,3.098999
2008/05/16 02:45,3.106002
2008/05/16 02:50,3.114002
2008/05/16 02:55,3.123003
2008/05/16 03:00,3.132002
2008/05/16 03:05,3.141
2008/05/16 03:10,3.151002
2008/05/16 03:15,3.157836
2008/05/16 03:20,3.170998
2008/05/16 03:25,3.182003
2008/05/16 03:30,3.192004
2008/05/16 03:35,3.202999
2008/05/16 03:40,3.210792
2008/05/16 03:45,3.221779
2008/05/16 03:50,3.236006
2008/05/16 03:55,3.248002
2008/05/16 04:00,3.258992
2008/05/16 04:05,3.270993
2008/05/16 04:10,3.278727
2008/05/16 04:15,3.294002
2008/05/16 04:20,3.306002
2008/05/16 04:25,3.319004
2008/05/16 04:30,3.330993
2008/05/16 04:35,3.344006
2008/05/16 04:40,3.355997
2008/05/16 04:45,3.369007
2008/05/16 04:50,3.383001
2008/05/16 04:55,3.395998
2008/05/16 05:00,3.409999
2008/05/16 05:05,3.423999
2008/05/16 05:10,3.439002
2008/05/16 05:15,3.454001
2008/05/16 05:20,3.470996
2008/05/16 05:25,3.488991
2008/05/16 05:30,3.508003
2008/05/16 05:35,3.530003
2008/05/16 05:40,3.553001
2008/05/16 05:45,3.579013
2008/05/16 05:50,3.611612
2008/05/16 05:55,3.638991
2008/05/16 06:00,3.673994
2008/05/16 06:05,3.712007
2008/05/16 06:10,3.756746
2008/05/16 06:15,3.793215
2008/05/16 06:20,3.840166
2008/05/16 06:25,3.888105
2008/05/16 06:30,3.94301
2008/05/16 06:35,3.991007
2008/05/16 06:40,4.04296
2008/05/16 06:45,4.101006
2008/05/16 06:50,4.150849
2008/05/16 06:55,4.204798
2008/05/16 07:00,4.258734
2008/05/16 07:05,4.311681
2008/05/16 07:10,4.364631
2008/05/16 07:15,4.41658
2008/05/16 07:20,4.468526
2008/05/16 07:25,4.519477
2008/05/16 07:30,4.573997
2008/05/16 07:35,4.619369
2008/05/16 07:40,4.669327
2008/05/16 07:45,4.718279
2008/05/16 07:50,4.772
2008/05/16 07:55,4.820996
2008/05/16 08:00,4.869001
2008/05/16 08:05,4.916998
2008/05/16 08:10,4.963994
2008/05/16 08:15,5.010996
2008/05/16 08:20,5.056998
2008/05/16 08:25,5.096898
2008/05/16 08:30,5.145999
2008/05/16 08:35,5.188999
2008/05/16 08:40,5.229995
2008/05/16 08:45,5.270004
2008/05/16 08:50,5.307997
2008/05/16 08:55,5.344999
2008/05/16 09:00,5.379004
2008/05/16 09:05,5.410996
2008/05/16 09:10,5.441996
2008/05/16 09:15,5.470002
2008/05/16 09:20,5.498
2008/05/16 09:25,5.523999
2008/05/16 09:30,5.548998
2008/05/16 09:35,5.574001
2008/05/16 09:40,5.596997
2008/05/16 09:45,5.621007
2008/05/16 09:50,5.645002
2008/05/16 09:55,5.669002
2008/05/16 10:00,5.693002
2008/05/16 10:05,5.717995
2008/05/16 10:10,5.744001
2008/05/16 10:15,5.775765
2008/05/16 10:20,5.795995
2008/05/16 10:25,5.824003
2008/05/16 10:30,5.850997
2008/05/16 10:35,5.878997
2008/05/16 10:40,5.908006
2008/05/16 10:45,5.930055
2008/05/16 10:50,5.965002
2008/05/16 10:55,5.995
2008/05/16 11:00,6.023997
2008/05/16 11:05,6.052997
2008/05/16 11:10,6.082999
2008/05/16 11:15,6.112003
2008/05/16 11:20,6.141009
2008/05/16 11:25,6.170008
2008/05/16 11:30,6.198002
2008/05/16 11:35,6.231223
2008/05/16 11:40,6.252007
2008/05/16 11:45,6.277014
2008/05/16 11:50,6.302001
2008/05/16 11:55,6.325004
2008/05/16 12:00,6.347003
2008/05/16 12:05,6.367002
2008/05/16 12:10,6.387001
2008/05/16 12:15,6.405009
2008/05/16 12:20,6.422009
2008/05/16 12:25,6.438002
2008/05/16 12:30,6.453995
2008/05/16 12:35,6.476465
2008/05/16 12:40,6.485005
2008/05/16 12:45,6.494503
2008/05/16 12:50,6.517006
2008/05/16 12:55,6.533001
2008/05/16 13:00,6.549993
2008/05/16 13:05,6.568002
2008/05/16 13:10,6.586001
2008/05/16 13:15,6.603007
2008/05/16 13:20,6.619994
2008/05/16 13:25,6.635003
2008/05/16 13:30,6.647997
2008/05/16 13:35,6.658995
2008/05/16 13:40,6.666005
2008/05/16 13:45,6.668999
2008/05/16 13:50,6.667996
2008/05/16 13:55,6.663001
2008/05/16 14:00,6.651002
2008/05/16 14:05,6.634
2008/05/16 14:10,6.610997
2008/05/16 14:15,6.58301
2008/05/16 14:20,6.552005
2008/05/16 14:25,6.517998
2008/05/16 14:30,6.475511
2008/05/16 14:35,6.437552
2008/05/16 14:40,6.399592
2008/05/16 14:45,6.361636
2008/05/16 14:50,6.324664
2008/05/16 14:55,6.289712
2008/05/16 15:00,6.257742
2008/05/16 15:05,6.228766
2008/05/16 15:10,6.202797
2008/05/16 15:15,6.17981
2008/05/16 15:20,6.158837
2008/05/16 15:25,6.141858
2008/05/16 15:30,6.125859
2008/05/16 15:35,6.111885
2008/05/16 15:40,6.099888
2008/05/16 15:45,6.096002
2008/05/16 15:50,6.086999
2008/05/16 15:55,6.077995
2008/05/16 16:00,6.071001
2008/05/16 16:05,6.064012
2008/05/16 16:10,6.057002
2008/05/16 16:15,6.050995
2008/05/16 16:20,6.044002
2008/05/16 16:25,6.04303
2008/05/16 16:30,6.035038
2008/05/16 16:35,6.02602
2008/05/16 16:40,6.017018
2008/05/16 16:45,6.004999
2008/05/16 16:50,5.985998
2008/05/16 16:55,5.972001
2008/05/16 17:00,5.954999
2008/05/16 17:05,5.936006
2008/05/16 17:10,5.909079
2008/05/16 17:15,5.892
2008/05/16 17:20,5.867004
2008/05/16 17:25,5.83415
2008/05/16 17:30,5.806183
2008/05/16 17:35,5.777217
2008/05/16 17:40,5.746248
2008/05/16 17:45,5.715273
2008/05/16 17:50,5.682312
2008/05/16 17:55,5.649342
2008/05/16 18:00,5.616377
2008/05/16 18:05,5.582403
2008/05/16 18:10,5.549442
2008/05/16 18:15,5.516482
2008/05/16 18:20,5.489001
2008/05/16 18:25,5.452545
2008/05/16 18:30,5.429004
2008/05/16 18:35,5.401004
2008/05/16 18:40,5.376
2008/05/16 18:45,5.348647
2008/05/16 18:50,5.328673
2008/05/16 18:55,5.318001
2008/05/16 19:00,5.306005
2008/05/16 19:05,5.298005
2008/05/16 19:10,5.293
2008/05/16 19:15,5.291
2008/05/16 19:20,5.291
2008/05/16 19:25,5.291
2008/05/16 19:30,5.291998
2008/05/16 19:35,5.297291
2008/05/16 19:40,5.296296
2008/05/16 19:45,5.293286
2008/05/16 19:50,5.280998
2008/05/16 19:55,5.271
2008/05/16 20:00,5.255997
2008/05/16 20:05,5.236
2008/05/16 20:10,5.210998
2008/05/16 20:15,5.187182
2008/05/16 20:20,5.156141
2008/05/16 20:25,5.115996
2008/05/16 20:30,5.075923
2008/05/16 20:35,5.038956
2008/05/16 20:40,5.001996
2008/05/16 20:45,4.972005
2008/05/16 20:50,4.937006
2008/05/16 20:55,4.905002
2008/05/16 21:00,4.875997
2008/05/16 21:05,4.851002
2008/05/16 21:10,4.823182
2008/05/16 21:15,4.807995
2008/05/16 21:20,4.790003
2008/05/16 21:25,4.768227
2008/05/16 21:30,4.760758
2008/05/16 21:35,4.738999
2008/05/16 21:40,4.720006
2008/05/16 21:45,4.704704
2008/05/16 21:50,4.672319
2008/05/16 21:55,4.651993
2008/05/16 22:00,4.621997
2008/05/16 22:05,4.588001
2008/05/16 22:10,4.549998
2008/05/16 22:15,4.509002
2008/05/16 22:20,4.463992
2008/05/16 22:25,4.418006
2008/05/16 22:30,4.369008
2008/05/16 22:35,4.319999
2008/05/16 22:40,4.265728
2008/05/16 22:45,4.224214
2008/05/16 22:50,4.171002
2008/05/16 22:55,4.123008
2008/05/16 23:00,4.077001
2008/05/16 23:05,4.032995
2008/05/16 23:10,3.990998
2008/05/16 23:15,3.951997
2008/05/16 23:20,3.914996
2008/05/16 23:25,3.881007
2008/05/16 23:30,3.847998
2008/05/16 23:35,3.821818
2008/05/16 23:40,3.793794
2008/05/16 23:45,3.768766
2008/05/16 23:50,3.744746
2008/05/16 23:55,3.723729